subj,parcel,term,beta
DMCC8078683,LH_Vis_2,hihi,0.004400298112683
DMCC8214059,LH_Vis_2,hihi,-0.0158976308044492
DMCC8260571,LH_Vis_2,hihi,0.0215447214729843
DMCC9441378,LH_Vis_2,hihi,-0.00873042569344293
DMCC9478705,LH_Vis_2,hihi,-0.00360323465933231
DMCC9850294,LH_Vis_2,hihi,0.00825346713694507
DMCC9953810,LH_Vis_2,hihi,0.0959222201352328
102008,LH_Vis_3,hihi,0.0403718570584832
107321,LH_Vis_3,hihi,0.0459431691942209
115825,LH_Vis_3,hihi,0.00747505159020077
123117,LH_Vis_3,hihi,0.0985465659948412
130114,LH_Vis_3,hihi,-0.013031557891359
130518,LH_Vis_3,hihi,-0.101323009963903
132017,LH_Vis_3,hihi,-0.0281311081299561
141422,LH_Vis_3,hihi,0.0656035837724874
150423,LH_Vis_3,hihi,-0.0435633777700773
158136,LH_Vis_3,hihi,0.059457304144096
161832,LH_Vis_3,hihi,0.0143426920986472
165032,LH_Vis_3,hihi,-0.0155101483444545
173738,LH_Vis_3,hihi,-0.00421599477449032
176845,LH_Vis_3,hihi,0.0792378582364856
178950,LH_Vis_3,hihi,-0.0183634238468768
182436,LH_Vis_3,hihi,-0.0178015692445889
203418,LH_Vis_3,hihi,0.0855494189589038
204319,LH_Vis_3,hihi,-0.0820515515187015
233326,LH_Vis_3,hihi,-0.0320210465326168
300618,LH_Vis_3,hihi,-0.0307736577108673
346945,LH_Vis_3,hihi,-0.0419339707591495
393550,LH_Vis_3,hihi,-0.00964838574739513
448347,LH_Vis_3,hihi,0.0136610427696522
580650,LH_Vis_3,hihi,-0.0620658915364936
594156,LH_Vis_3,hihi,0.0191594281242111
601127,LH_Vis_3,hihi,0.16647035291094
672756,LH_Vis_3,hihi,0.000173679313652531
765864,LH_Vis_3,hihi,0.0771268191776286
849971,LH_Vis_3,hihi,0.0877615488161037
877168,LH_Vis_3,hihi,0.000503871087858456
DMCC0472647,LH_Vis_3,hihi,0.0592751853434932
DMCC1328342,LH_Vis_3,hihi,0.0694585299384878
DMCC1624043,LH_Vis_3,hihi,0.128296742367399
DMCC3963378,LH_Vis_3,hihi,0.00413658860858574
DMCC4854984,LH_Vis_3,hihi,0.03719308238579
DMCC5065053,LH_Vis_3,hihi,-0.00136231835934064
DMCC5195268,LH_Vis_3,hihi,0.00351063903915692
DMCC5244053,LH_Vis_3,hihi,-0.0189497806468065
DMCC5775387,LH_Vis_3,hihi,0.00857010829810822
DMCC5820265,LH_Vis_3,hihi,-0.0179581377309368
DMCC6418065,LH_Vis_3,hihi,0.313242114045435
DMCC6627478,LH_Vis_3,hihi,0.0647227421487056
DMCC6671683,LH_Vis_3,hihi,0.0884302049914276
DMCC6705371,LH_Vis_3,hihi,0.00393752971320963
DMCC7297690,LH_Vis_3,hihi,0.00666378144435581
DMCC7921988,LH_Vis_3,hihi,0.0135950199944993
DMCC8050964,LH_Vis_3,hihi,0.0102040184332666
DMCC8078683,LH_Vis_3,hihi,0.269398195136385
DMCC8214059,LH_Vis_3,hihi,-0.000397165629264827
DMCC8260571,LH_Vis_3,hihi,-0.00508798549815414
DMCC9441378,LH_Vis_3,hihi,0.0820150519646436
DMCC9478705,LH_Vis_3,hihi,0.0698206449718957
DMCC9850294,LH_Vis_3,hihi,-0.0380696427624655
DMCC9953810,LH_Vis_3,hihi,-0.0675645130848573
102008,LH_Vis_4,hihi,-0.00598609337330912
107321,LH_Vis_4,hihi,-0.00530402771713575
115825,LH_Vis_4,hihi,-0.00649849284660333
123117,LH_Vis_4,hihi,-0.0120821375578283
130114,LH_Vis_4,hihi,-0.0101728118048193
130518,LH_Vis_4,hihi,-0.0321652515857318
132017,LH_Vis_4,hihi,-0.0162614497289098
141422,LH_Vis_4,hihi,-0.00396433227301922
150423,LH_Vis_4,hihi,-0.0104592110233024
158136,LH_Vis_4,hihi,-0.00824630184320943
161832,LH_Vis_4,hihi,0.054339923308152
165032,LH_Vis_4,hihi,0.0354476147674812
173738,LH_Vis_4,hihi,0.00628831934410028
176845,LH_Vis_4,hihi,-0.00386431407147778
178950,LH_Vis_4,hihi,0.0149111682198457
182436,LH_Vis_4,hihi,-0.0119618209685433
203418,LH_Vis_4,hihi,0.0827617760474386
204319,LH_Vis_4,hihi,-0.0351674868331022
233326,LH_Vis_4,hihi,-0.0138792701766113
300618,LH_Vis_4,hihi,0.0106408533293548
346945,LH_Vis_4,hihi,-0.0234590710321072
393550,LH_Vis_4,hihi,-0.0486028021148601
448347,LH_Vis_4,hihi,0.000986002793962779
580650,LH_Vis_4,hihi,-0.0174858578712578
594156,LH_Vis_4,hihi,0.0233450722880169
601127,LH_Vis_4,hihi,0.0619546843316222
672756,LH_Vis_4,hihi,0.00124875385017604
765864,LH_Vis_4,hihi,-0.0076238073616657
849971,LH_Vis_4,hihi,0.00341846907199227
877168,LH_Vis_4,hihi,-0.0267136219504434
DMCC0472647,LH_Vis_4,hihi,0.0230773212425498
DMCC1328342,LH_Vis_4,hihi,-0.0289297445839644
DMCC1624043,LH_Vis_4,hihi,0.0383894248467453
DMCC3963378,LH_Vis_4,hihi,-0.00275793525498304
DMCC4854984,LH_Vis_4,hihi,0.0142472263240537
DMCC5065053,LH_Vis_4,hihi,0.000233487475343965
DMCC5195268,LH_Vis_4,hihi,0.0109844932356541
DMCC5244053,LH_Vis_4,hihi,0.0104391963581276
DMCC5775387,LH_Vis_4,hihi,0.0346540548269531
DMCC5820265,LH_Vis_4,hihi,-0.0140505420415289
DMCC6418065,LH_Vis_4,hihi,0.0773533669021535
DMCC6627478,LH_Vis_4,hihi,0.0667325815900209
DMCC6671683,LH_Vis_4,hihi,0.0276455741018355
DMCC6705371,LH_Vis_4,hihi,-0.01995825358008
DMCC7297690,LH_Vis_4,hihi,-0.00815781169228142
DMCC7921988,LH_Vis_4,hihi,-0.0139341109104469
