subj,parcel,term,beta
DMCC9441378,LH_Vis_2,hihi,0.107596181616305
DMCC9478705,LH_Vis_2,hihi,-0.074882838471629
DMCC9850294,LH_Vis_2,hihi,0.246270404002284
DMCC9953810,LH_Vis_2,hihi,0.140260767623759
102008,LH_Vis_3,hihi,0.1690713926859
107321,LH_Vis_3,hihi,0.132225849293575
115825,LH_Vis_3,hihi,-0.0445972257401266
123117,LH_Vis_3,hihi,-0.105012361021463
130114,LH_Vis_3,hihi,0.151535162191541
130518,LH_Vis_3,hihi,0.0969623751932386
132017,LH_Vis_3,hihi,0.170153639003129
141422,LH_Vis_3,hihi,0.0431011792990324
150423,LH_Vis_3,hihi,0.668712659404733
158136,LH_Vis_3,hihi,0.195914073788781
161832,LH_Vis_3,hihi,0.313292813033681
165032,LH_Vis_3,hihi,0.0511259827372738
173738,LH_Vis_3,hihi,0.0573397694553981
176845,LH_Vis_3,hihi,0.323582838026366
178950,LH_Vis_3,hihi,0.172713099502421
182436,LH_Vis_3,hihi,-0.0717829217787047
203418,LH_Vis_3,hihi,0.268747392647172
204319,LH_Vis_3,hihi,0.607148374951767
233326,LH_Vis_3,hihi,0.137702072852628
300618,LH_Vis_3,hihi,0.452869727023469
346945,LH_Vis_3,hihi,0.274603774403059
393550,LH_Vis_3,hihi,0.309982969797373
448347,LH_Vis_3,hihi,0.289126540136819
580650,LH_Vis_3,hihi,0.0199728854860533
594156,LH_Vis_3,hihi,-0.0641200848228805
601127,LH_Vis_3,hihi,0.15506751841486
672756,LH_Vis_3,hihi,0.126758319389842
765864,LH_Vis_3,hihi,0.376482106231721
849971,LH_Vis_3,hihi,0.0401990516141523
877168,LH_Vis_3,hihi,0.194032643197949
DMCC0472647,LH_Vis_3,hihi,0.117222962229625
DMCC1328342,LH_Vis_3,hihi,0.0605610739303644
DMCC1624043,LH_Vis_3,hihi,0.301646172005468
DMCC3963378,LH_Vis_3,hihi,0.143792343887555
DMCC4854984,LH_Vis_3,hihi,0.00638556643753543
DMCC5065053,LH_Vis_3,hihi,0.382385934183486
DMCC5195268,LH_Vis_3,hihi,-0.0296765015895645
DMCC5244053,LH_Vis_3,hihi,0.47759931169131
DMCC5775387,LH_Vis_3,hihi,0.137538096411746
DMCC5820265,LH_Vis_3,hihi,0.252245299522377
DMCC6418065,LH_Vis_3,hihi,0.374111223799075
DMCC6627478,LH_Vis_3,hihi,0.248146999924371
DMCC6671683,LH_Vis_3,hihi,0.202368730099647
DMCC6705371,LH_Vis_3,hihi,0.249015629136937
DMCC7297690,LH_Vis_3,hihi,-0.0952715980797004
DMCC7921988,LH_Vis_3,hihi,0.211798003936195
DMCC8050964,LH_Vis_3,hihi,0.110113280937484
DMCC8078683,LH_Vis_3,hihi,0.238687532429447
DMCC8214059,LH_Vis_3,hihi,0.434956705468999
DMCC8260571,LH_Vis_3,hihi,0.166359481634423
DMCC9441378,LH_Vis_3,hihi,-0.0318299874777493
DMCC9478705,LH_Vis_3,hihi,0.0386400548554858
DMCC9850294,LH_Vis_3,hihi,-0.0622255398932746
DMCC9953810,LH_Vis_3,hihi,-0.151920599285161
102008,LH_Vis_4,hihi,0.131357187002466
107321,LH_Vis_4,hihi,-0.0566882802871584
115825,LH_Vis_4,hihi,-0.105479468927538
123117,LH_Vis_4,hihi,0.266125918249292
130114,LH_Vis_4,hihi,0.10506693291817
130518,LH_Vis_4,hihi,-0.00664228118063468
132017,LH_Vis_4,hihi,0.0600023412179348
141422,LH_Vis_4,hihi,0.0618555986594977
150423,LH_Vis_4,hihi,0.190852679095204
158136,LH_Vis_4,hihi,-0.0398115263029802
161832,LH_Vis_4,hihi,0.302483188199022
165032,LH_Vis_4,hihi,-0.0496862293053543
173738,LH_Vis_4,hihi,0.192279227055151
176845,LH_Vis_4,hihi,0.0493095841403742
178950,LH_Vis_4,hihi,0.027340897011512
182436,LH_Vis_4,hihi,0.0588868616983104
203418,LH_Vis_4,hihi,0.249469687791855
204319,LH_Vis_4,hihi,-0.143945373820939
233326,LH_Vis_4,hihi,-0.00947422911788323
300618,LH_Vis_4,hihi,0.254005926772297
346945,LH_Vis_4,hihi,0.47141634490609
393550,LH_Vis_4,hihi,-0.127578704200682
448347,LH_Vis_4,hihi,-0.0939799725475906
580650,LH_Vis_4,hihi,-0.078314677943584
594156,LH_Vis_4,hihi,0.129957071578835
601127,LH_Vis_4,hihi,0.163347576359531
672756,LH_Vis_4,hihi,0.0685099589813133
765864,LH_Vis_4,hihi,0.018428646392577
849971,LH_Vis_4,hihi,0.124771298434129
877168,LH_Vis_4,hihi,-0.0478124307837852
DMCC0472647,LH_Vis_4,hihi,-0.0244233917457841
DMCC1328342,LH_Vis_4,hihi,0.0936409548094233
DMCC1624043,LH_Vis_4,hihi,0.0806645637887575
DMCC3963378,LH_Vis_4,hihi,0.0391220284502957
DMCC4854984,LH_Vis_4,hihi,0.184265601755391
DMCC5065053,LH_Vis_4,hihi,-0.0915785874820473
DMCC5195268,LH_Vis_4,hihi,0.110612256905686
DMCC5244053,LH_Vis_4,hihi,0.250128507760985
DMCC5775387,LH_Vis_4,hihi,0.11404839314428
DMCC5820265,LH_Vis_4,hihi,0.153647283194428
DMCC6418065,LH_Vis_4,hihi,0.32998773370545
DMCC6627478,LH_Vis_4,hihi,0.0170942227577774
DMCC6671683,LH_Vis_4,hihi,0.0305396971801735
DMCC6705371,LH_Vis_4,hihi,-0.0287442255458904
DMCC7297690,LH_Vis_4,hihi,0.189413028249984
DMCC7921988,LH_Vis_4,hihi,-0.0401611421585323
DMCC8050964,LH_Vis_4,hihi,-0.017724636223
DMCC8078683,LH_Vis_4,hihi,0.437643080530684
DMCC8214059,LH_Vis_4,hihi,0.338837065335971
DMCC8260571,LH_Vis_4,hihi,-0.0062243556708841
DMCC9441378,LH_Vis_4,hihi,0.276650452981444
DMCC9478705,LH_Vis_4,hihi,0.0428285952780643
DMCC9850294,LH_Vis_4,hihi,-0.0753728443232465
DMCC9953810,LH_Vis_4,hihi,0.29969538511113
102008,LH_Vis_5,hihi,-0.00102373965992546
107321,LH_Vis_5,hihi,0.0670015388623612
115825,LH_Vis_5,hihi,0.0549527412282555
123117,LH_Vis_5,hihi,0.113108430322224
130114,LH_Vis_5,hihi,0.027009480628748
130518,LH_Vis_5,hihi,0.106155031396999
132017,LH_Vis_5,hihi,-0.0301458839727915
141422,LH_Vis_5,hihi,0.227957106499749
150423,LH_Vis_5,hihi,0.322743671737156
158136,LH_Vis_5,hihi,-0.0156899330845736
161832,LH_Vis_5,hihi,0.0982289427242216
165032,LH_Vis_5,hihi,0.343446199385301
173738,LH_Vis_5,hihi,0.383823236929781
176845,LH_Vis_5,hihi,0.226030303230917
178950,LH_Vis_5,hihi,0.138262107643197
182436,LH_Vis_5,hihi,0.0836215050842193
203418,LH_Vis_5,hihi,-0.039247059922041
204319,LH_Vis_5,hihi,0.22353152150947
233326,LH_Vis_5,hihi,-0.125499840043762
300618,LH_Vis_5,hihi,0.154964763079144
346945,LH_Vis_5,hihi,0.398454119701267
393550,LH_Vis_5,hihi,-0.0665939169788743
448347,LH_Vis_5,hihi,0.138704130283401
580650,LH_Vis_5,hihi,-0.0147956656370999
594156,LH_Vis_5,hihi,0.00312315861377225
601127,LH_Vis_5,hihi,0.32849743963255
672756,LH_Vis_5,hihi,0.0737048590697328
765864,LH_Vis_5,hihi,0.147587046459679
849971,LH_Vis_5,hihi,0.109831789360537
877168,LH_Vis_5,hihi,0.153748051339105
DMCC0472647,LH_Vis_5,hihi,-0.0485081995362365
DMCC1328342,LH_Vis_5,hihi,-0.0825861377094968
DMCC1624043,LH_Vis_5,hihi,0.0101094375364618
DMCC3963378,LH_Vis_5,hihi,0.515588107055614
DMCC4854984,LH_Vis_5,hihi,0.109374585775626
DMCC5065053,LH_Vis_5,hihi,0.077484499069625
DMCC5195268,LH_Vis_5,hihi,0.512470877194239
DMCC5244053,LH_Vis_5,hihi,0.326031023608127
DMCC5775387,LH_Vis_5,hihi,-0.0137285472208657
DMCC5820265,LH_Vis_5,hihi,0.0473896194973823
DMCC6418065,LH_Vis_5,hihi,0.296942297681978
DMCC6627478,LH_Vis_5,hihi,0.275251655826285
DMCC6671683,LH_Vis_5,hihi,0.186437477044232
DMCC6705371,LH_Vis_5,hihi,0.233685840777495
DMCC7297690,LH_Vis_5,hihi,0.0083957297786675
DMCC7921988,LH_Vis_5,hihi,0.134275026534561
DMCC8050964,LH_Vis_5,hihi,0.329652171245451
DMCC8078683,LH_Vis_5,hihi,0.37492985801771
DMCC8214059,LH_Vis_5,hihi,0.37029244380757
DMCC8260571,LH_Vis_5,hihi,0.0103066591890208
DMCC9441378,LH_Vis_5,hihi,0.494145588414964
DMCC9478705,LH_Vis_5,hihi,0.142658766292048
DMCC9850294,LH_Vis_5,hihi,0.0391073463122802
DMCC9953810,LH_Vis_5,hihi,0.211982892491716
102008,LH_Vis_6,hihi,0.367640165912182
107321,LH_Vis_6,hihi,0.272319621627202
115825,LH_Vis_6,hihi,0.13058729317627
123117,LH_Vis_6,hihi,0.0961688332940725
