parcel,multi,univa
LH_Vis_1,0.0464184274752867,0.0262039297440804
LH_Vis_1,0.085291112044517,0.0290763734058582
LH_Vis_1,-0.195590880997603,-0.167333442795558
LH_Vis_1,-0.107994755218141,-0.0610371582253769
LH_Vis_1,-0.265643534098475,-0.119676457565994
LH_Vis_1,0.185771776181832,0.146127582652561
LH_Vis_1,0.07943426427374,-0.0119436059345453
LH_Vis_1,-0.0238439741040406,0.0238498989101456
LH_Vis_1,0.0328293327935622,0.0133945586898542
LH_Vis_1,0.0840782502999348,0.0430938799490474
LH_Vis_1,0.0125905306380958,0.0324184372811648
LH_Vis_1,0.0853523026680122,0.0390637202242603
LH_Vis_1,0.143118012412709,0.106570156764814
LH_Vis_1,-0.0164055315564851,-0.0520545827208713
LH_Vis_1,0.102839641256647,0.0475123036095404
LH_Vis_1,0.0544784351576545,0.0288122208339731
LH_Vis_1,-0.00870759087674503,-0.0125573698099616
LH_Vis_1,0.0260561567811679,0.029041205364071
LH_Vis_1,0.0791724934781592,0.0501651259184135
LH_Vis_1,-0.909636264462616,-0.630102501109223
LH_Vis_1,0.0964186981276349,0.0332257466685295
LH_Vis_1,-0.0139538548529146,-0.0156742376685447
LH_Vis_1,0.123770473761609,0.0723401845162076
LH_Vis_1,-0.0694165637438469,0.0340581304617493
LH_Vis_1,0.0605330286087603,0.0414406252439735
LH_Vis_1,0.122465406376598,0.0424972631809107
LH_Vis_1,0.0944442385564876,0.0866306622499059
LH_Vis_1,0.0521145107451795,8.3615335295946e-05
LH_Vis_1,0.113753575740613,0.0345993227502408
LH_Vis_1,0.0521434774879877,0.0247937718648234
LH_Vis_1,-0.207177424214834,0.029803616349464
LH_Vis_1,-0.128293841415533,-0.102122353237611
LH_Vis_1,0.0179972168427223,-0.0247218363856987
LH_Vis_1,0.107312841158581,0.034858888117313
LH_Vis_1,0.0909819406307603,0.0365815159012021
LH_Vis_1,0.0527829561722261,-0.015387378647073
LH_Vis_1,-0.0545099266939436,0.0143917246749534
LH_Vis_1,0.0799632006295991,0.0193618150608756
LH_Vis_1,-0.030637661984771,0.0332402752442924
LH_Vis_1,0.00393100849204142,0.0164060821729378
LH_Vis_1,0.13337859648889,0.0431476960847752
LH_Vis_1,0.0762189678593417,0.0309663971142812
LH_Vis_1,0.0244829669917793,0.0246455496529153
LH_Vis_1,-0.00584209145309489,0.0024542663248226
LH_Vis_1,-0.0272002929359388,0.0572085254272809
LH_Vis_1,0.176767930144056,0.136064244308717
LH_Vis_1,0.0230846891218592,0.021484451277227
