parcel,multi,univa
LH_Vis_1,-0.0145064798166639,0.077118849892852
LH_Vis_1,0.115446416591223,-0.0119304164618146
LH_Vis_1,0.1521365562656,0.0248224406812956
LH_Vis_1,-0.220457083958689,-0.0370027039797763
LH_Vis_1,-0.146543978743251,-0.048097359254871
LH_Vis_1,0.273806746368084,0.0379797455908457
LH_Vis_1,0.254102286682279,0.0576745727741324
LH_Vis_1,-0.0550794784064582,0.0749303935684906
LH_Vis_1,-0.0552151394409487,0.0452785017492343
LH_Vis_1,0.0244480133114241,0.088451576120615
LH_Vis_1,0.0519589353445938,0.0784313888568502
LH_Vis_1,0.0125381958930011,0.0260017937527195
LH_Vis_1,0.0840877826280775,0.00628391627271512
LH_Vis_1,-0.471003011987491,-0.408366187713918
LH_Vis_1,-0.0262264169760836,0.0584001454453646
LH_Vis_1,0.0402415834667536,0.0335072925157723
LH_Vis_1,0.109836951468762,0.0569477051652158
LH_Vis_1,-0.0587320203949383,0.0290392421141648
LH_Vis_1,0.0944401860620178,0.101333239185324
LH_Vis_1,0.0986596623421427,-0.0382070402738501
LH_Vis_1,0.0967165302826158,0.0599576409627614
LH_Vis_1,-0.152679907743949,-0.0844286543266018
LH_Vis_1,0.302758015405001,0.0777825172506688
LH_Vis_1,0.0306168893031336,0.0845258322377773
LH_Vis_1,0.0782460522051975,0.105730247092021
LH_Vis_1,0.232071698923759,0.0234609903950659
LH_Vis_1,0.201452611336649,0.101547156982385
LH_Vis_1,0.0996560571708826,-0.0664519374843818
LH_Vis_1,0.192644266797919,0.0812842005279162
LH_Vis_1,-0.0748129734078951,0.141970821399373
LH_Vis_1,-0.407112719737606,-0.0320912297969904
LH_Vis_1,0.082087573501492,0.0425124578876936
LH_Vis_1,-0.18706655684466,-0.169201876735551
LH_Vis_1,0.146534945240401,0.0775297197593792
LH_Vis_1,0.0651851170152162,0.0798528232592874
LH_Vis_1,0.00483174095730787,-0.0821975768302735
LH_Vis_1,0.04049808831699,0.0318292075626591
LH_Vis_1,-0.190536933516713,-0.185365499287251
LH_Vis_1,0.089372412181698,0.0719185072700778
LH_Vis_1,-0.181546093809772,0.0151616649748174
LH_Vis_1,0.374817266555228,0.0767176667944597
LH_Vis_1,-0.146759218424824,0.0354470581384771
LH_Vis_1,-0.0946921177838372,-0.0142371552748674
LH_Vis_1,-0.101383942399706,-0.0937494504118239
LH_Vis_1,-0.192362795347654,0.0747760890703147
LH_Vis_1,0.138454002782279,0.119357338228146
LH_Vis_1,-0.0235393277333053,0.0745638328279897
LH_Vis_1,0.301154677436472,0.0821359126499201
LH_Vis_1,-0.00455612463896482,0.0720430729966752
LH_Vis_1,0.200541740997518,0.056215353042862
LH_Vis_1,0.298059284190847,0.0879476339983903
LH_Vis_1,-0.410499665352966,-0.46344038120596
LH_Vis_1,-0.809927810181455,-0.389757466207657
LH_Vis_1,0.156817935069676,0.0411953186142986
